snapshot_date,yt_subscribers,naver_total_news,subs_source,news_source
2025-08-04,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EB%A7%88%EC%9D%B4%EB%9D%BC%ED%81%B4%22%7C%22MY%3ARAKL%22%7C%22MYRAKL%22&sort=1&pd=3&ds=2025.08.04&de=2025.08.10
2025-08-11,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EB%A7%88%EC%9D%B4%EB%9D%BC%ED%81%B4%22%7C%22MY%3ARAKL%22%7C%22MYRAKL%22&sort=1&pd=3&ds=2025.08.11&de=2025.08.17
2025-08-18,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EB%A7%88%EC%9D%B4%EB%9D%BC%ED%81%B4%22%7C%22MY%3ARAKL%22%7C%22MYRAKL%22&sort=1&pd=3&ds=2025.08.18&de=2025.08.24
2025-08-25,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EB%A7%88%EC%9D%B4%EB%9D%BC%ED%81%B4%22%7C%22MY%3ARAKL%22%7C%22MYRAKL%22&sort=1&pd=3&ds=2025.08.25&de=2025.08.31
2025-09-01,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EB%A7%88%EC%9D%B4%EB%9D%BC%ED%81%B4%22%7C%22MY%3ARAKL%22%7C%22MYRAKL%22&sort=1&pd=3&ds=2025.09.01&de=2025.09.07
2025-09-08,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EB%A7%88%EC%9D%B4%EB%9D%BC%ED%81%B4%22%7C%22MY%3ARAKL%22%7C%22MYRAKL%22&sort=1&pd=3&ds=2025.09.08&de=2025.09.14
2025-09-15,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EB%A7%88%EC%9D%B4%EB%9D%BC%ED%81%B4%22%7C%22MY%3ARAKL%22%7C%22MYRAKL%22&sort=1&pd=3&ds=2025.09.15&de=2025.09.21
2025-09-22,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EB%A7%88%EC%9D%B4%EB%9D%BC%ED%81%B4%22%7C%22MY%3ARAKL%22%7C%22MYRAKL%22&sort=1&pd=3&ds=2025.09.22&de=2025.09.28
2025-09-29,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EB%A7%88%EC%9D%B4%EB%9D%BC%ED%81%B4%22%7C%22MY%3ARAKL%22%7C%22MYRAKL%22&sort=1&pd=3&ds=2025.09.29&de=2025.10.05
2025-10-06,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EB%A7%88%EC%9D%B4%EB%9D%BC%ED%81%B4%22%7C%22MY%3ARAKL%22%7C%22MYRAKL%22&sort=1&pd=3&ds=2025.10.06&de=2025.10.12
2025-10-13,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EB%A7%88%EC%9D%B4%EB%9D%BC%ED%81%B4%22%7C%22MY%3ARAKL%22%7C%22MYRAKL%22&sort=1&pd=3&ds=2025.10.13&de=2025.10.19
2025-10-20,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EB%A7%88%EC%9D%B4%EB%9D%BC%ED%81%B4%22%7C%22MY%3ARAKL%22%7C%22MYRAKL%22&sort=1&pd=3&ds=2025.10.20&de=2025.10.26
2025-10-27,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EB%A7%88%EC%9D%B4%EB%9D%BC%ED%81%B4%22%7C%22MY%3ARAKL%22%7C%22MYRAKL%22&sort=1&pd=3&ds=2025.10.27&de=2025.11.02
2025-11-03,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EB%A7%88%EC%9D%B4%EB%9D%BC%ED%81%B4%22%7C%22MY%3ARAKL%22%7C%22MYRAKL%22&sort=1&pd=3&ds=2025.11.03&de=2025.11.09
2025-11-10,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EB%A7%88%EC%9D%B4%EB%9D%BC%ED%81%B4%22%7C%22MY%3ARAKL%22%7C%22MYRAKL%22&sort=1&pd=3&ds=2025.11.10&de=2025.11.16
2025-11-17,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EB%A7%88%EC%9D%B4%EB%9D%BC%ED%81%B4%22%7C%22MY%3ARAKL%22%7C%22MYRAKL%22&sort=1&pd=3&ds=2025.11.17&de=2025.11.23
