snapshot_date,yt_subscribers,naver_total_news,subs_source,news_source,yt_total_videos,yt_total_views
2025-05-05,,0,,https://search.naver.com/search.naver?where=news&query=%22%EC%8A%A4%ED%82%A8%EC%A6%88%22%7C%22SKINZ%22&sort=1&pd=3&ds=2025.05.05&de=2025.05.11,,
2025-05-12,,0,,https://search.naver.com/search.naver?where=news&query=%22%EC%8A%A4%ED%82%A8%EC%A6%88%22%7C%22SKINZ%22&sort=1&pd=3&ds=2025.05.12&de=2025.05.18,,
2025-05-19,,5,,https://search.naver.com/search.naver?where=news&query=%22%EC%8A%A4%ED%82%A8%EC%A6%88%22%7C%22SKINZ%22&sort=1&pd=3&ds=2025.05.19&de=2025.05.25,,
2025-05-26,,0,,https://search.naver.com/search.naver?where=news&query=%22%EC%8A%A4%ED%82%A8%EC%A6%88%22%7C%22SKINZ%22&sort=1&pd=3&ds=2025.05.26&de=2025.06.01,,
2025-06-02,,0,,https://search.naver.com/search.naver?where=news&query=%22%EC%8A%A4%ED%82%A8%EC%A6%88%22%7C%22SKINZ%22&sort=1&pd=3&ds=2025.06.02&de=2025.06.08,,
2025-06-09,,0,,https://search.naver.com/search.naver?where=news&query=%22%EC%8A%A4%ED%82%A8%EC%A6%88%22%7C%22SKINZ%22&sort=1&pd=3&ds=2025.06.09&de=2025.06.15,,
2025-06-16,,0,,https://search.naver.com/search.naver?where=news&query=%22%EC%8A%A4%ED%82%A8%EC%A6%88%22%7C%22SKINZ%22&sort=1&pd=3&ds=2025.06.16&de=2025.06.22,,
2025-06-23,,1,,https://search.naver.com/search.naver?where=news&query=%22%EC%8A%A4%ED%82%A8%EC%A6%88%22%7C%22SKINZ%22&sort=1&pd=3&ds=2025.06.23&de=2025.06.29,,
2025-06-30,,0,,https://search.naver.com/search.naver?where=news&query=%22%EC%8A%A4%ED%82%A8%EC%A6%88%22%7C%22SKINZ%22&sort=1&pd=3&ds=2025.06.30&de=2025.07.06,,
2025-07-07,,1001,,https://search.naver.com/search.naver?where=news&query=%22%EC%8A%A4%ED%82%A8%EC%A6%88%22%7C%22SKINZ%22&sort=1&pd=3&ds=2025.07.07&de=2025.07.13,,
2025-07-08,61300,,https://web.archive.org/web/20250708062924/https://www.youtube.com/@SKINZOFFICIAL,,121,
