snapshot_date,yt_subscribers,naver_total_news,subs_source,news_source,yt_total_videos,yt_total_views
2025-09-29,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2025.09.29&de=2025.10.05,,
2025-10-06,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2025.10.06&de=2025.10.12,,
2025-10-13,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2025.10.13&de=2025.10.19,,
2025-10-20,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2025.10.20&de=2025.10.26,,
2025-10-27,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2025.10.27&de=2025.11.02,,
2025-11-03,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2025.11.03&de=2025.11.09,,
2025-11-10,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2025.11.10&de=2025.11.16,,
2025-11-17,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2025.11.17&de=2025.11.23,,
2025-11-24,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2025.11.24&de=2025.11.30,,
2025-12-01,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2025.12.01&de=2025.12.07,,
2025-12-08,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2025.12.08&de=2025.12.14,,
2025-12-15,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2025.12.15&de=2025.12.21,,
2025-12-22,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2025.12.22&de=2025.12.28,,
2025-12-29,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2025.12.29&de=2026.01.04,,
2026-01-05,,16,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2026.01.05&de=2026.01.11,,
2026-01-12,,50,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2026.01.12&de=2026.01.18,,
2026-01-19,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2026.01.19&de=2026.01.25,,
2026-01-26,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2026.01.26&de=2026.02.01,,
2026-02-02,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2026.02.02&de=2026.02.08,,
2026-02-09,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2026.02.09&de=2026.02.15,,
2026-02-16,,0,no_snapshot,https://search.naver.com/search.naver?where=news&query=%22%EC%98%A4%EC%9C%84%EC%8A%A4%22%7C%22OWIS%22&sort=1&pd=3&ds=2026.02.16&de=2026.02.22,,
