snapshot_date,yt_subscribers,naver_total_news,subs_source,news_source
2022-09-19,,0,,https://search.naver.com/search.naver?where=news&query=%22%ED%94%8C%EB%A0%88%EC%9D%B4%EB%B8%8C%22%7C%22PLAVE%22&sort=1&pd=3&ds=2022.09.19&de=2022.09.25
2022-09-26,,0,,https://search.naver.com/search.naver?where=news&query=%22%ED%94%8C%EB%A0%88%EC%9D%B4%EB%B8%8C%22%7C%22PLAVE%22&sort=1&pd=3&ds=2022.09.26&de=2022.10.02
2022-10-03,,0,,https://search.naver.com/search.naver?where=news&query=%22%ED%94%8C%EB%A0%88%EC%9D%B4%EB%B8%8C%22%7C%22PLAVE%22&sort=1&pd=3&ds=2022.10.03&de=2022.10.09
2022-10-10,,0,,https://search.naver.com/search.naver?where=news&query=%22%ED%94%8C%EB%A0%88%EC%9D%B4%EB%B8%8C%22%7C%22PLAVE%22&sort=1&pd=3&ds=2022.10.10&de=2022.10.16
2022-10-17,,0,,https://search.naver.com/search.naver?where=news&query=%22%ED%94%8C%EB%A0%88%EC%9D%B4%EB%B8%8C%22%7C%22PLAVE%22&sort=1&pd=3&ds=2022.10.17&de=2022.10.23
2022-10-24,,1,,https://search.naver.com/search.naver?where=news&query=%22%ED%94%8C%EB%A0%88%EC%9D%B4%EB%B8%8C%22%7C%22PLAVE%22&sort=1&pd=3&ds=2022.10.24&de=2022.10.30
2022-10-31,,0,,https://search.naver.com/search.naver?where=news&query=%22%ED%94%8C%EB%A0%88%EC%9D%B4%EB%B8%8C%22%7C%22PLAVE%22&sort=1&pd=3&ds=2022.10.31&de=2022.11.06
2022-11-02,1010,,https://web.archive.org/web/20221102115835/https://www.youtube.com/@plave_official,
2022-11-07,,0,,https://search.naver.com/search.naver?where=news&query=%22%ED%94%8C%EB%A0%88%EC%9D%B4%EB%B8%8C%22%7C%22PLAVE%22&sort=1&pd=3&ds=2022.11.07&de=2022.11.13
2022-11-09,1010,,https://web.archive.org/web/20221109114832/https://www.youtube.com/@plave_official,
2022-11-14,,0,,https://search.naver.com/search.naver?where=news&query=%22%ED%94%8C%EB%A0%88%EC%9D%B4%EB%B8%8C%22%7C%22PLAVE%22&sort=1&pd=3&ds=2022.11.14&de=2022.11.20
2022-11-21,,0,,https://search.naver.com/search.naver?where=news&query=%22%ED%94%8C%EB%A0%88%EC%9D%B4%EB%B8%8C%22%7C%22PLAVE%22&sort=1&pd=3&ds=2022.11.21&de=2022.11.27
2022-11-28,,0,,https://search.naver.com/search.naver?where=news&query=%22%ED%94%8C%EB%A0%88%EC%9D%B4%EB%B8%8C%22%7C%22PLAVE%22&sort=1&pd=3&ds=2022.11.28&de=2022.12.04
